rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,local_id,target_id,range,range_timestamp,rss
1623088177236885156,,519,,1623088177,236754894,'',27259,0,2101.0,18272951.0,-81.0
1623088177246714799,,520,,1623088177,246578931,'',27259,0,1479.0,18272961.0,-80.0
1623088177257290999,,521,,1623088177,257111072,'',27259,0,2139.0,18272972.0,-81.0
1623088177276909510,,522,,1623088177,276818037,'',27259,0,1441.0,18272992.0,-80.0
1623088177287564392,,523,,1623088177,287369012,'',27259,0,2101.0,18273002.0,-81.0
1623088177297384495,,524,,1623088177,297207117,'',27259,0,1441.0,18273012.0,-80.0
1623088177307843872,,525,,1623088177,307665109,'',27259,0,2101.0,18273022.0,-81.0
1623088177327636599,,526,,1623088177,327501058,'',27259,0,1479.0,18273042.0,-80.0
1623088177337981192,,527,,1623088177,337861061,'',27259,0,2074.0,18273052.0,-81.0
1623088177347617074,,528,,1623088177,347512006,'',27259,0,1479.0,18273062.0,-80.0
1623088177357519747,,529,,1623088177,357392072,'',27259,0,2101.0,18273072.0,-81.0
1623088177385744095,,530,,1623088177,385577917,'',27259,0,1516.0,18273100.0,-80.0
1623088177397370303,,531,,1623088177,397264003,'',27259,0,2176.0,18273112.0,-81.0
1623088177407951636,,532,,1623088177,407804965,'',27259,0,1516.0,18273122.0,-80.0
1623088177427774133,,533,,1623088177,427615880,'',27259,0,2074.0,18273142.0,-81.0
1623088177437763634,,534,,1623088177,437643051,'',27259,0,1516.0,18273152.0,-80.0
1623088177447519232,,535,,1623088177,447396993,'',27259,0,2074.0,18273162.0,-81.0
1623088177458965346,,536,,1623088177,458837985,'',27259,0,1479.0,18273173.0,-80.0
1623088177477936233,,537,,1623088177,477797985,'',27259,0,2101.0,18273192.0,-81.0
1623088177493730520,,538,,1623088177,493622064,'',27259,0,1441.0,18273202.0,-80.0
1623088177508511547,,539,,1623088177,508336067,'',27259,0,2074.0,18273222.0,-81.0
1623088177527622614,,540,,1623088177,527457952,'',27259,0,1451.0,18273242.0,-80.0
1623088177538274690,,541,,1623088177,538011074,'',27259,0,2139.0,18273252.0,-81.0
1623088177547867978,,542,,1623088177,547755002,'',27259,0,1451.0,18273262.0,-80.0
1623088177558917144,,543,,1623088177,558784961,'',27259,0,2074.0,18273273.0,-81.0
1623088177578184573,,544,,1623088177,578038930,'',27259,0,1488.0,18273292.0,-80.0
1623088177588099283,,545,,1623088177,587991952,'',27259,0,2074.0,18273302.0,-81.0
1623088177599059289,,546,,1623088177,598973035,'',27259,0,1451.0,18273313.0,-80.0
1623088177608758504,,547,,1623088177,608668088,'',27259,0,2101.0,18273323.0,-81.0
1623088177628724203,,548,,1623088177,628551959,'',27259,0,1376.0,18273343.0,-80.0
1623088177638821860,,549,,1623088177,638657093,'',27259,0,2176.0,18273353.0,-81.0
